,t0__0,period__0,ror__0,b__0,dur__0,rho_circ__0,mean,u__0,u__1
0,1843.6577853700464,3.770168654944346,0.06402288109152032,0.5280517544022811,0.11164201004057894,1.0217968741805994,0.00016486900447986374,0.7613362078662775,-0.19706281084651522
1,1843.6575670729294,3.7700909888090957,0.06391961098306825,0.6048317264321851,0.11209221596981192,0.8346166488371036,0.00017041279863923075,0.8278603330034384,-0.15298292954840215
2,1843.6579819668632,3.769898258193394,0.0650194774859537,0.6383818760381571,0.1101852415923231,0.7942065485577363,0.00015580070117901792,0.46738110028571395,0.11002926860164693
3,1843.6574405453516,3.7700836477099835,0.061728742195791955,0.4655560809347423,0.11286215971222165,1.118047156962256,0.00013811909966483023,0.36261592136260834,0.3395704562958358
4,1843.6575230789194,3.7701958966567872,0.06399966708020365,0.4521132477864833,0.11021899200417158,1.2281694164878896,0.0001777641030097548,0.9688270309760317,-0.4321669673126636
5,1843.6575355337222,3.770170794424094,0.0644361732518802,0.547456702191345,0.10982541731317438,1.0273114171307616,0.00017444280471183815,0.9034308643445721,-0.4197234979497971
6,1843.6566639335958,3.7700730966523293,0.06391984644506524,0.4838614542539309,0.11072086634988858,1.145054892765414,0.00017778068769383216,0.9465302585124276,-0.45211105850797445
7,1843.6565445016126,3.7700683575337615,0.06447243198358997,0.5285333726974204,0.11019158744580457,1.0612850519463581,0.0001853612497021244,0.8707347937655355,-0.4256448930237758
8,1843.6570896478083,3.7701408871868556,0.06402420114778369,0.4651802243266276,0.11162827518515211,1.1561137068154144,0.00019652828367580703,0.9895826715029755,-0.4785671325588199
9,1843.6576726091885,3.7701474513304034,0.06351332739130103,0.6037917777301192,0.11057538094988452,0.8717240049335191,0.00011914246755633813,0.8139739921575226,-0.17420953053873436
10,1843.6576230773217,3.770148011859974,0.06243687641034958,0.31417688123887405,0.10966954534042833,1.5003595547209745,0.0001162064071005588,0.7894976018933185,-0.3363183927878066
11,1843.6576013166764,3.7701259629726915,0.06069507832601243,0.18551284412894567,0.11224743536489994,1.5506130736753312,0.00013810675945102364,0.3006840539100936,0.43414120146963087
12,1843.6575553240154,3.7700943145845214,0.06077690368520578,0.20010280569191613,0.1122476547053197,1.5371808143966148,0.0001364104554673842,0.3622973945550542,0.3833790227999653
13,1843.6574969114902,3.7702128958773002,0.061676821216001786,0.24416494442015474,0.11080914031365474,1.5494862110206422,0.00016672575073525565,0.7379390668699994,-0.23115917516655698
14,1843.6579031574838,3.7703659504594165,0.06044333402901807,0.3162365618028753,0.11346430433155437,1.3525085950503328,0.00018773146333439893,0.889997697857218,-0.21330586350907327
15,1843.6570764585301,3.7699779372341027,0.06326744131318414,0.4007406067675455,0.10962709366447562,1.3513921932792952,0.00014770482654512788,0.637595311284857,-0.18032839991137972
16,1843.65782798303,3.770370771164993,0.06156983687210198,0.45597123975285836,0.1156233150975181,1.0577777915636972,0.00016582211637355786,0.34727054578358163,0.5656787316383299
17,1843.6578491739165,3.77034752238328,0.0615292281677219,0.46332189119585643,0.1151068191339736,1.0584644615288574,0.00017018179559260708,0.3521071704420791,0.5516892734454684
18,1843.6575113277192,3.7701817531503434,0.062280903767635745,0.486572441622144,0.11373216535949647,1.051613968933575,0.00019438373459813009,0.6946816916090058,0.19127108118471095
19,1843.657551789106,3.7701850920191533,0.061506396254537056,0.21123127456157656,0.11125388890003399,1.5674652286013602,0.0001224468511340726,0.7687661638693278,-0.29228410138113403
20,1843.657308485343,3.7702101352285413,0.06153378147379421,0.25527647715113,0.11226153151286113,1.4772685227081435,0.00014944678427018007,0.7837409621078011,-0.2610055644515147
21,1843.657578630743,3.7700471418907697,0.06508935912228343,0.5887131180436173,0.10919695573318487,0.9430492122097655,0.0001656575964646387,0.7963615239563572,-0.3440524721185767
22,1843.6572980046383,3.770199170930069,0.06023112984916377,0.22312276410912638,0.11418184943637522,1.43869689254208,0.00015224699897961323,0.6095581484893986,0.09173625271603725
23,1843.6574024586578,3.7703868860762793,0.061268099321111574,0.2851520501591557,0.11330962479189918,1.4001497833690615,0.0002371700504413693,0.6919317540011329,-0.0016851047841447242
24,1843.6571500916577,3.7701474244773805,0.06425930848152368,0.5494956307177277,0.10871265265783386,1.0539616990344867,0.00012195033201410926,0.6819999186288472,-0.21879141383177023
25,1843.6576741277117,3.7700163539374607,0.06190346425755402,0.4483754500586837,0.11396327166683823,1.1185493228316568,0.000202184097830856,0.7755386959039101,-0.016233617893801337
